sponsor_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
Katherine M. Clark,health,services,public,safety,care,education,commonwealth,protect,city,insurance
Michael A. Costello,city,town,newburyport,commonwealth,affordable,salisbury,school,public,children,newbury
Daniel B. Winslow,commonwealth,public,education,reduce,sales,health,veterans,community,through,offenders
Linda Campbell,school,property,veterans,safety,children,public,service,persons,annual,health
Jay R. Kaufman,health,commonwealth,protect,care,access,public,safety,voting,education,promote
James J. Lyons Jr.,town,public,marijuana,andover,sales,children,education,safety,holiday,insurance
Carlos Henriquez,health,care,commonwealth,creating,schools,access,education,school,establish,children
Eugene L. O'Flaherty,manslaughter,insurance,updating,medical,animals,regional,lockup,facility,suffolk,county
Robert F. Fennell,regulating,lynn,services,commonwealth,care,retirement,city,public,safety,promote
John Hart Jr.,care,health,public,safety,improve,reduce,alcohol,sick,children,families
Benjamin B. Downing,town,public,commonwealth,access,health,service,department,promote,education,employment
Gailanne M. Cariddi,health,public,care,protect,commonwealth,access,education,promote,services,state
John J. Binienda,housing,prohibiting,motor,school,vehicles,commonwealth,worcester,safety,children,further
Thomas A. Golden,department,option,benefits,nursing,safety,employees,substance,chelmsford,requiring,treatment
Paul Heroux,department,police,court,offender,program,public,reporting,commissioner,services,juvenile
Leah Cole,public,school,sales,property,education,program,department,children,taxes,home
Paul R. Heroux,health,services,public,access,children,promote,care,commonwealth,protect,safety
Frank Moran,town,andover,insurance,commonwealth,property,automobile,rates,payment,subcontractors,exchange
Joan B.  Lovely,health,access,children,care,disabilities,services,public,protect,city,promote
David Rogers,schools,public,town,belmont,improving,asthma,establish,division,indoor,environments
James J. Lyons,rolling,back,reform,state,funding,pension,sales,health,fees,public
Angelo J. Puppolo,commonwealth,teachers,retirement,credits,parochial,schools,sanctity,collective,bargaining,cupcake
Jay Livingstone,city,boston,department,recreation,health,tobacco,protecting,workers,conservation,lease
Rhonda L. Nyman,town,hanover,pertaining,officers,court,powers,duties,manager,public,safety
Wayne Matewsky,practice,athletic,training,further,regulating,sale,tobacco,products,distinctive,registration
Marjorie Decker,health,cambridge,public,city,families,school,service,benefits,schools,children
Brian Mannal,after,cheerleading,town,barnstable,sale,being,accessory,fact,determining,distribution
Therese Murray,town,falmouth,department,sandwich,bourne,amending,sick,leave,bank,employee
Claire Cronin,service,state,child,persons,health,enhance,credit,credible,school,nurses
Carole Fiola,prescription,drugs,department,workers,further,regulating,sale,tobacco,products,protecting
Daniel Cullinane,public,health,commonwealth,care,access,education,protect,program,creating,services
John J. Lawn,state,employees,contracts,statute,limitations,insurance,treatment,construction,commissioner,further
